"Community safety and social inclusion > Welsh Index of Multiple Deprivation > Archive > WIMD 2011 > Welsh Index of Multiple Deprivation 2011 by rank and local super output area"
""
"","","WIMD (1)","Income (2)","Employment (3)","Health (4)","Education (5)","Access to Services (6)","Community Safety (7)","Physical Environment (8)","Housing (9)"
"Isle of Anglesey ","",".",".",".",".",".",".",".",".","."
"","W01000202: Efenechtyd ",1482,1494,1673,1667,1696,88,1827,1567,925
"","W01000203: Llanarmon-yn-Ial/Llandegla ",1642,1665,1673,1762,1814,176,1289,1537,1488
"","W01000204: Llanbedr Dyffryn Clwyd/Llangy ",1686,1762,1845,1328,1875,209,1865,1829,1067
"","W01000205: Llandrillo ",1239,1384,1447,1513,1146,172,1669,632,555
"","W01000206: Llandyrnog ",1384,1438,1327,1226,1621,213,1701,1251,1027
"","W01000207: Llanfair Dyffryn Clwyd/Gwydde ",1435,1648,1560,1797,1561,61,1578,1501,1110
"","W01000208: Llangollen 1 ",842,916,1022,926,1539,117,464,936,648
"","W01000209: Llangollen 2 ",1192,1000,1111,1510,918,709,763,1346,635
"","W01000210: Llangollen 3 ",1607,1558,1447,1393,1597,697,1136,1181,683
"","W01000211: Llanrhaeadr-yng-Nghinmeirch ",1422,1525,1560,1507,1724,118,1760,1080,786
"","W01000212: Prestatyn Central 1 ",1592,1440,1111,1299,1489,910,1259,1781,1417
"","W01000213: Prestatyn Central 2 ",335,184,295,1066,261,1862,558,1563,44
"","W01000214: Prestatyn East 1 ",848,769,1022,446,810,1459,728,401,870
"","W01000215: Prestatyn East 2 ",1833,1742,1560,1726,1674,718,1433,1891,1789
"","W01000216: Prestatyn East 3 ",1020,804,941,1097,1015,1742,1037,497,289
"","W01000217: Prestatyn Meliden ",766,638,782,1114,679,662,741,1763,208
"","W01000218: Prestatyn North 1 ",830,677,708,1052,849,1415,849,314,640
"","W01000219: Prestatyn North 2 ",745,635,861,1179,725,863,803,249,274
"","W01000220: Prestatyn North 3 ",571,753,400,884,452,474,1415,295,960
"","W01000221: Prestatyn South West 1 ",695,765,941,1063,704,371,592,307,264
"","W01000222: Prestatyn South West 2 ",925,1016,861,1233,756,528,1568,330,660
"","W01000223: Rhuddlan 1 ",1427,1608,1447,940,1523,404,809,801,1481
"","W01000224: Rhuddlan 2 ",1074,997,1111,1332,858,714,1466,1870,98
"","W01000225: Rhuddlan 3 ",1096,914,1111,725,898,1272,1068,1038,880
"","W01000226: Rhyl East 1 ",479,553,347,645,442,1021,467,390,633
"","W01000227: Rhyl East 2 ",1040,749,708,1415,1185,1289,1228,546,901
"","W01000228: Rhyl East 3 ",216,375,97,68,766,1610,437,1738,65
"","W01000229: Rhyl South 1 ",533,574,295,953,525,490,933,1120,1264
"","W01000230: Rhyl South 2 ",1142,1083,861,1091,1020,976,1060,950,840
"","W01000231: Rhyl South East 1 ",752,565,585,840,729,1617,794,1192,492
"","W01000232: Rhyl South East 2 ",1048,1144,1111,388,1094,1051,1411,984,607
"","W01000233: Rhyl South East 3 ",1053,1080,861,1088,645,1217,1127,1461,435
"","W01000234: Rhyl South East 4 ",287,148,400,900,284,892,331,1680,59
"","W01000235: Rhyl South East 5 ",1455,1433,1111,1650,1497,1118,1634,227,545
"","W01000236: Rhyl South West 1 ",96,75,223,155,154,1631,116,213,21
"","W01000237: Rhyl South West 2 ",12,9,49,102,31,868,83,58,8
"","W01000238: Rhyl South West 3 ",586,551,708,403,654,1607,580,321,257
"","W01000239: Rhyl West 1 ",7,10,2,45,161,1696,2,144,5
"","W01000240: Rhyl West 2 ",1,1,1,4,19,1884,1,343,2
"","W01000241: Rhyl West 3 ",34,22,73,113,83,1573,42,65,137
"","W01000242: Ruthin 1 ",1316,881,1111,1412,1117,1244,1131,1466,781
"","W01000243: Ruthin 2 ",1669,1218,1221,1558,1791,1605,910,1719,1013
"","W01000244: Ruthin 3 ",1863,1794,1761,1684,1795,566,1877,1887,1803
"","W01000245: St. Asaph East ",1565,1345,1447,1374,1535,1201,1103,564,722
"","W01000246: St. Asaph West ",696,729,708,936,498,1188,902,618,153
"","W01000247: Trefnant ",1196,1360,1111,987,1389,151,1789,1471,1206
"","W01000248: Tremeirchion ",1231,1606,1673,1437,1460,11,1670,1707,992
"Flintshire ","",".",".",".",".",".",".",".",".","."
"Flintshire ","W01000249: Argoed (Flintshire) 1 ",1817,1572,1560,1648,1557,1327,1320,1212,1720
"","W01000250: Argoed (Flintshire) 2 ",1741,1677,1447,1584,1588,852,1268,1126,1516
